filename,source_script,source_data,main_or_supplementary,scientific_meaning,units,aggregation,consistent_with_tables,readable_at_column_width,action,notes
architecture_or_hierarchy.pdf,scripts/regenerate_publication_figures.py,conceptual,main,"Machine/cluster observations, independent forecasts, S, reconciliation, coherent outputs",n/a,n/a,yes,yes,replaced,Redesigned logic; cluster target no longer treated as forecast-block output.
cpu_accuracy_vs_horizon.pdf,scripts/regenerate_publication_figures.py,table02 + table05,main,CPU MAE vs horizon,weighted-mean %,horizon mean across folds; DLinear seed band,yes,yes,corrected,Removed underscore title; seed-invariance in caption.
bootstrap_relative_effects.pdf,scripts/regenerate_publication_figures.py,robustness_relative_effects.csv,main,Claim-relevant relative effects,relative MAE %,mean over fold/horizon/seed cells,yes,yes,replaced,Human labels; negative favors first method.
coherence_before_after.pdf,scripts/regenerate_publication_figures.py,table02 coherence_*,main,CPU coherence before/after,log10(error+eps),mean over horizons,yes,yes,replaced,Exact zeros annotated; OLS removed.
cpu_reconciliation_effect_by_seed.pdf,scripts/regenerate_publication_figures.py,robustness_relative_effects.csv,main,CPU recon effect by seed,relative MAE %,mean fold x horizon by seed,yes,yes,replaced,Was empty/unreadable; now LightGBM+DLinear by method/seed.
memory_reconciliation_vs_ewma.pdf,scripts/regenerate_publication_figures.py,robustness_relative_effects.csv,main,Memory relative MAE vs EWMA by model-method-seed,relative MAE %,mean fold x horizon by seed,yes,yes,replaced,Prior plot averaged across models within method labels; corrected.
disk_boundary.pdf,scripts/regenerate_publication_figures.py,table04,main,Ridge disk modes vs pers/EWMA,disk MAE x1e9,horizon mean,yes,yes,replaced,Colored Ridge modes + baseline lines; no LGBM.
top_bottom_tradeoff.pdf,scripts/regenerate_publication_figures.py,top_bottom_tradeoff.csv,main,Top/bottom trade-off panels,relative MAE %,fold/horizon points,yes,yes,replaced,CPU/memory vs disk panels; LGBM disk stress excluded.
cpu_peak_results.pdf,scripts/regenerate_publication_figures.py,table08,main,CPU peak recall vs high-load MAE,recall; high-load MAE,by model/method/threshold,yes,yes,corrected,"Color=model, marker=method; q90/q95 panels."
dlinear_memory_peak_bias_by_seed.pdf,scripts/regenerate_publication_figures.py,dlinear_peak_compression.csv,main,DLinear memory peak signed bias,bytes,mean fold x horizon within seed/method,yes,yes,corrected,Units and underprediction meaning in caption.
method_selection_map.pdf,timetrack/final_reporting_v2.py (legacy),headlines,removed,Text-only method map,n/a,n/a,n/a,n/a,removed,Converted to tables/method_selection.tex.
memory_accuracy_vs_horizon.pdf,scripts/regenerate_publication_figures.py,table03,supplementary,Memory MAE vs horizon,bytes x1e9,horizon mean / seed_mean,yes,yes,moved,Supplementary only.
supplementary/bootstrap_relative_effects_full.pdf,scripts/regenerate_publication_figures.py,robustness_relative_effects.csv,supplementary,Full bootstrap forest,relative MAE %,group means,yes,yes,added,Full version.
