run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,source_experiment_freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,ewma_alpha,seed,summing_matrix_hash,wall_train_sec_sum,cpu_train_sec_sum,peak_rss_mb_max,top_mae_independent,n_bottom_series,n_series_fitted
base__memory_um__f0__h1__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5333000192185864e-05,4.099999995332837e-05,458.40625,1286777035.528772,7,8
base__memory_um__f0__h8__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.616800182091538e-05,4.099999998175008e-05,458.40625,1284254786.1130323,7,8
base__memory_um__f0__h16__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,0,16,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5961002645781264e-05,3.899999995837789e-05,458.40625,1278392838.9775565,7,8
base__memory_um__f1__h1__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,1,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.6666994270053692e-05,3.8999999986799594e-05,458.40625,834534180.4979616,7,8
base__memory_um__f1__h8__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,1,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.483200139773544e-05,3.700000002027082e-05,458.40625,835071934.4879591,7,8
base__memory_um__f1__h16__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,1,16,32,ewma,0.9,0,abe0cd1cb9555ccb,1.4916002328391189e-05,4.0000000012696546e-05,458.40625,835569802.7322348,7,8
base__memory_um__f2__h1__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,2,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.541900019219611e-05,3.800000001774606e-05,458.40625,1034898874.6414587,7,8
base__memory_um__f2__h8__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,2,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.508299828856252e-05,3.90000000152213e-05,458.40625,1035591176.3913442,7,8
base__memory_um__f2__h16__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,memory_um,2,16,32,ewma,0.9,0,abe0cd1cb9555ccb,1.4666002243757248e-05,4.199999995080361e-05,458.40625,1036338955.8872705,7,8
base__cpu_core_weighted__f0__h1__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,cpu_core_weighted,0,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5252000594045969e-05,3.799999996090264e-05,459.78125,335.52793643057095,7,8
base__cpu_core_weighted__f0__h8__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,cpu_core_weighted,0,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.545800296298694e-05,4.600000011123484e-05,488.84375,328.45678663782206,7,8
base__cpu_core_weighted__f0__h16__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,cpu_core_weighted,0,16,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5584000720991753e-05,4.400000000259752e-05,488.84375,331.5725613145136,7,8
base__cpu_core_weighted__f1__h1__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,cpu_core_weighted,1,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.6791997040854767e-05,4.1000000123858626e-05,488.84375,256.62658002027604,7,8
base__cpu_core_weighted__f1__h8__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,cpu_core_weighted,1,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5041996448417194e-05,3.69999999634274e-05,488.84375,260.7017247413789,7,8
base__cpu_core_weighted__f1__h16__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,cpu_core_weighted,1,16,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5706997146480717e-05,3.899999995837789e-05,488.84375,260.986621336821,7,8
base__cpu_core_weighted__f2__h1__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,cpu_core_weighted,2,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.533399881736841e-05,3.900000007206472e-05,488.84375,341.92643847281437,7,8
base__cpu_core_weighted__f2__h8__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,cpu_core_weighted,2,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.654100196901709e-05,4.4000000059440936e-05,488.84375,342.0799116689226,7,8
base__cpu_core_weighted__f2__h16__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,cpu_core_weighted,2,16,32,ewma,0.9,0,abe0cd1cb9555ccb,1.6002000847947784e-05,3.800000001774606e-05,491.046875,346.84875658370987,7,8
base__disk_ud__f0__h1__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,disk_ud,0,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.7249998563784175e-05,3.899999995837789e-05,491.09375,1868493509.4348843,7,8
base__disk_ud__f0__h8__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,disk_ud,0,8,32,ewma,0.9,0,abe0cd1cb9555ccb,1.687499570834916e-05,4.100000001017179e-05,491.09375,1870006271.463248,7,8
base__disk_ud__f1__h1__ewma__s0,final_robustness_extension,True,robustness_extension,de2093a219740f4292d3034120109176c5b5b4b8,final-robustness-extension-freeze-v1,experiment-freeze-v2,bf06dc0e7fe6ff5e,2b0ff42ed114603a,ewma_baselines,8c7c971920dd0c71,disk_ud,1,1,32,ewma,0.9,0,abe0cd1cb9555ccb,1.5207997421384787e-05,3.799999996090264e-05,491.09375,1146341583.7071595,7,8
