component,fitted_on,selected_on,evaluated_on,outer_test_used_for_selection,future_data_used,frozen_config_source,leakage_status,implementation_source,notes
window_construction,N/A (rule-based),N/A,outer train/val/test windows,false,false,configs/final_fgcs_packs.yaml context=32,pass,timetrack/splits.py::build_windows,Windows discarded if outage/fold/missing discontinuities crossed
missing_value_handling,N/A,N/A,admissible origins only,false,false,frozen pack runners,pass,experiments/pack_runner.py / final_hierarchy_runner.py,Origins requiring NaN context/targets dropped; aligned across hierarchy levels
scaling_dlinear,outer-train X/y mean-std,N/A (fixed policy),val/test via train transform + inverse,false,false,models/deep_learning/neural.py train_only_standardize,pass,models/deep_learning/neural.py,Only DLinear scales
scaling_other_models,none,none,native scale,false,false,classical/ML baselines,pass,models/classical/* ; models/machine_learning/trees.py,Persistence/EWMA/Ridge/LightGBM share no scaler
ewma_alpha,N/A,inner validation,outer test,false,false,results/final/robustness/01_ewma_baselines/selected_ewma_params.yaml,pass,robustness EWMA selection,Frozen alpha=0.9
ridge_lambda,N/A,shared tuning on inner val,outer test,false,false,results/final/packs/00_shared_tuning/selected_hyperparameters.yaml,pass,experiments/pack_runner.py shared tuning,CPU alpha=1e4; memory/disk alpha=1
lightgbm_hyperparameters,N/A,shared tuning on inner val (CPU/memory separate),outer test,false,false,00_shared_tuning/selected_hyperparameters.yaml,pass,experiments/pack_runner.py,Disk uses transferred memory config (stress only)
dlinear_hyperparameters,N/A,frozen architecture/budget (eligibility gate),outer test,false,false,configs/final_fgcs_packs.yaml dlinear_fixed,pass,models/deep_learning/neural.py,<=40 epochs patience 5; not outer-label tuned
wls_variances,outer-train validation residuals,N/A,applied to aligned one-step base forecasts on outer test,false,false,covariance_estimation_source=outer_train_val_residuals,pass,experiments/pack_runner.py estimate_residual_covariance,Diagonal W only
mint_covariance,outer-train validation residuals,N/A (frozen shrink 0.1),applied on outer test,false,false,outer_train_val_residuals + shrink policy,pass,reconciler + pack_runner,Outer-test residuals never used
peak_thresholds,outer-train observations only,N/A,evaluation timestamps unchanged thresholds,false,false,configs/final_peak_analysis.yaml threshold_policy=outer_train_quantile_only,pass,timetrack/peak_reporting.py,q90/q95; exact_timestamp matching
seed_aggregation,N/A,N/A,seed-level + optional means with reversal guard,false,false,configs/final_robustness_statistics.yaml,pass,timetrack/robustness_reporting.py,LightGBM invariance not counted as independent replicates; memory seed-mean cannot upgrade reversed seed
claim_classification,N/A,N/A,accepted frozen artifacts only,false,false,final-reporting-freeze-v2 evidence registry,pass,timetrack/final_reporting_v2.py,Combines direction CI fold width seed trade-off; majority wins insufficient
