log_message,excess_pt,source_file,source_line_start,source_line_end,pdf_page,element,root_cause,fix_applied,remaining,visual_impact,notes
Overfull \hbox (123.62721pt too wide) detected at line 96,123.62721,manuscript.tex,96,96,1,CAS Abstract ARTICLE INFO zero-width hbox,cas-common Abstract \hbox_to_wd:nn{\z@}{\box key},Renew Abstract with \hss; \let\printorcid\relax,no,non-visible (class layout trick),excess equals 0.25\textwidth
Overfull \hbox (5.9571pt too wide) in paragraph at lines 207--213,5.9571,manuscript.tex,207,213,2,Research Gap prose,long compound peak-operational,rephrase peak operational,no,visible risk,typography
Overfull \hbox (188.1326pt too wide) in paragraph at lines 19--19,188.1326,tables/related_work_comparison.tex,19,19,3,related-work threeparttable+caption,caption inside threeparttable with CAS parbox,caption outside; tabularx{\tblwidth}; table*,no,visible,root cause CAPTION-IN-TPT
Overfull \hbox (16.32043pt too wide) in paragraph at lines 246--249,16.32043,manuscript.tex,246,249,3,Disk hierarchy prose,CPU/memory compound,rephrase Unlike CPU and memory,no,visible risk,typography
Overfull \hbox (67.41089pt too wide) in paragraph at lines 27--27,67.41089,tables/baseline_definitions.tex,27,27,4,baselines table,caption inside threeparttable,caption outside; tabularx,no,visible,CAPTION-IN-TPT
Overfull \hbox (29.93552pt too wide) in paragraph at lines 299--305,29.93552,manuscript.tex,299,305,4,metrics prose,RMSE/MASE/$R^2$ unbreakable run,split tokens,no,visible risk,typography
Overfull \hbox (46.56873pt too wide) in paragraph at lines 22--22,46.56873,tables/experiment_registry.tex,22,22,5,experiment table,caption inside threeparttable,caption outside; tabularx,no,visible,CAPTION-IN-TPT
Overfull \hbox (4.41637pt too wide) in paragraph at lines 341--358,4.41637,manuscript.tex,341,358,5,CPU results prose,approx math tokens,about instead of approx,no,visible risk,typography
Overfull \hbox (55.40292pt too wide) in paragraph at lines 25--25,55.40292,tables/cpu_main_results.tex,25,25,5,CPU results table,caption inside threeparttable; tiny,caption outside; tabular*; \small; short headers,no,visible,CAPTION-IN-TPT
Overfull \hbox (67.25238pt too wide) in paragraph at lines 23--23,67.25238,tables/memory_main_results.tex,23,23,6,memory table,caption inside threeparttable; tiny,caption outside; tabular*; \small,no,visible,CAPTION-IN-TPT
Overfull \hbox (38.52493pt too wide) in paragraph at lines 20--20,38.52493,tables/disk_boundary_results.tex,20,20,6,disk table,caption inside threeparttable; tiny,caption outside; tabular*; notes for units,no,visible,CAPTION-IN-TPT
Overfull \hbox (13.99556pt too wide) in paragraph at lines 17--17,13.99556,tables/peak_results.tex,17,17,6,peak table,caption inside threeparttable,caption outside; tabularx,no,visible,CAPTION-IN-TPT
Overfull \hbox (15.54514pt too wide) in paragraph at lines 15--15,15.54514,tables/seed_robustness.tex,15,15,7,seed table,caption inside threeparttable; tabular* overflow,caption outside; tabularx X col,no,visible,CAPTION-IN-TPT
Overfull \hbox (82.92155pt too wide) in paragraph at lines 25--25,82.92155,tables/statistical_evidence.tex,25,25,7,stats table,caption inside threeparttable; tiny,caption outside; tabularx,no,visible,CAPTION-IN-TPT
Overfull \hbox (92.55162pt too wide) in paragraph at lines 16--16,92.55162,tables/method_selection.tex,16,16,7,method-selection table,caption inside threeparttable,caption outside; tabularx,no,visible,CAPTION-IN-TPT
Overfull \hbox (34.05496pt too wide) in paragraph at lines 17--17,34.05496,tables/claim_summary.tex,17,17,7,claim summary table,caption inside threeparttable,caption outside; tabularx,no,visible,CAPTION-IN-TPT
Overfull \hbox (7.35043pt too wide) in paragraph at lines 516--521,7.35043,manuscript.tex,516,521,9,Discussion prose,WLS/MinT compound,rephrase WLS and MinT,no,visible risk,typography
Overfull \hbox (1.57635pt too wide) in paragraph at lines 550--556,1.57635,manuscript.tex,550,556,9,Conclusion prose,seed-robust line,strong and seed-robust,no,barely visible,<=2pt then removed
POST-FIX: no Overfull \hbox remain in manuscript.log,0,manuscript.log,,,,full manuscript,n/a,Stage 0.1 typography/table/float polish,no,none,before_count_gt_2pt=17; after_count=0; pages=11 (1 highlights + 10 article)
