file,line,current_text,current_interpretation,implementation_supported_interpretation,action,revised_text,affects_claim,notes
fgcs/manuscript.tex,652,"component (the one-step value at each origin), so frozen point metrics are",as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/manuscript.tex,653,one-step-ahead evaluations rather than $H$-step lead-time scores; $H$ still,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/manuscript.tex,677,one-step evaluation.,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/manuscript.tex,810,\subsection{Temporal Splits and Output Widths},as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/manuscript.tex,863,\caption{{CPU} aggregate one-step {MAE} versus joint prediction width $H$ for,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/manuscript.tex,866,trained output width rather than evaluation lead time.,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/manuscript.tex,951,\caption{Disk boundary for Ridge reconciliation modes. Horizontal lines mark,as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/manuscript.tex,986,output widths within each seed and method. Negative values indicate underprediction,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/tables/experiment_registry.tex,12,"Output widths & {CPU}/mem.\ $H\in\{1,8,16\}$; disk~$H\in\{1,8\}$ \\",as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/tables/experiment_registry.tex,13,Scored lead & One-step (first output component) \\,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/tables/memory_main_results.tex,3,\caption{Memory outer-evaluation one-step MAE (bytes). Seed-mean for stochastic models; mean across output widths $H$ otherwise. EWMA is the strongest robust method; some reconciled Ridge/DLinear point MAEs are lower but do not robustly bea,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/tables/cpu_main_results.tex,3,"\caption{CPU outer-evaluation one-step MAE (weighted-mean \%). Means across outer folds and joint prediction widths $H\in\{1,8,16\}$. Bold: best frozen configuration. Underline: bottom-preserving Ridge alternative.}",as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/supplementary/supplementary_material.tex,29,\section{Memory accuracy versus output width},as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/supplementary/supplementary_material.tex,33,\caption{Memory one-step MAE versus joint prediction width $H$.,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/supplementary/supplementary_material.tex,34,Metrics evaluate the first predicted component; $H$ is not evaluation lead time.},as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/LAYOUT_AND_EVIDENCE_AUDIT.md,68,Later expansion may add horizon-level rows / CIs; Stage 0 does not change accepted results.,as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/LAYOUT_AND_EVIDENCE_AUDIT.md,74,| Disk +13.9% vs +14.8% | **+13.93%** = ratio of horizon-mean MAEs (primary). **+14.83%** = mean of horizon-level `mae_vs_independent` (secondary). |,as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/LAYOUT_AND_EVIDENCE_AUDIT.md,76,| LGBM memory +36.9% vs +38.8% | **+36.89%** = ratio of horizon-mean MAEs. **+38.82%** = mean of horizon-level relative fields. |,as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/results/provenance/SAFE_CLAIMS_V2.md,3,"Qualified by hierarchy, model, method, horizons h1/h8/h16 (disk h1/h8), folds 0–2,",as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/results/provenance/SAFE_CLAIMS_V2.md,10,"for core-weighted CPU across seeds 0/1/2, folds 0–2, horizons 1/8/16",as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,1,# Forecast-horizon / output-width semantics audit,as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,5,"**Decision:** **Interpretation B** — configuration values \(1,8,16\) are joint prediction / multi-output training widths \(H\); frozen metrics score **one-step** forecasts only.",as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
